Model,Output_Length,Block_Size,Latency
llama2_quant,8K,1536,0.056571829787235565
llama2,8K,1536,0.19768891914893771
gpt3_quant,8K,1536,0.08715094468122574
gpt3,8K,1536,0.3052987914897364
gpt_neo_quant,8K,1600,0.016854638298651935
gpt_neo,8K,1600,0.059870093617022085
llama2_quant,8K,1600,0.05923787234042706
llama2,8K,1600,0.1987503319148951
gpt3_quant,8K,1600,0.08325283404292785
gpt3,8K,1600,0.3049899063833534
